"fold","auc","auc_lower","auc_upper"
1,0.761904761904762,0.559874373796761,0.963935150012763
2,0.776190476190476,0.52865423131502,1
3,0.806122448979592,0.61132172175216,1
4,0.81547619047619,0.609558032445103,1
5,0.880952380952381,0.646548905642801,1
