"fold","auc","auc_lower","auc_upper"
1,0.852380952380952,0.69057196351343,1
2,0.885714285714286,0.742857228277368,1
3,0.852040816326531,0.686591872651867,1
4,0.916666666666667,0.795321757194833,1
5,0.702380952380952,0.463132237380999,0.941629667380906
