"fold","auc","auc_lower","auc_upper"
1,1,1,1
2,0.876190476190476,0.713461239207821,1
3,0.989795918367347,0.961512166850007,1
4,0.916666666666667,0.789524156584108,1
5,0.892857142857143,0.747057004698084,1
