"classifier","auc","lower","upper","workflow"
"Full LASSO",0.928451178451178,0.873292715524746,0.98360964137761,"Gene"
"3-feature LASSO",0.889941077441078,0.819714408312664,0.960167746569491,"Gene"
"FABP4",0.899410774410774,0.843514242807146,0.955307306014403,"Gene"
"ISG15",0.807449494949495,0.717765766376256,0.897133223522734,"Gene"
"Full LASSO",0.928030303030303,0.868938661260466,0.98712194480014,"Protein"
"3-feature LASSO",0.907828282828283,0.844004605129736,0.97165196052683,"Protein"
"FABP4",0.843434343434343,0.770879080136961,0.915989606731726,"Protein"
"ISG15",0.849326599326599,0.770433512977834,0.928219685675365,"Protein"
