"gene_symbol","log2FC_RNA","padj_RNA","log2FC_protein","padj_protein","sig_class"
"SH3KBP1",0.423394843617008,0.120724405763511,-0.00960137318714196,0.998419475690512,"Not Significant"
"KRT14",-1.1466975902138,0.121735095929629,0.133863016818984,0.998419475690512,"Not Significant"
"KIF3A",-0.680633693632599,0.122933640933785,0.0912847976706725,0.998419475690512,"Not Significant"
"GATAD1",-0.510605910141881,0.123916603433965,0.329134327427716,0.844219646885179,"Not Significant"
"UBE2L3",0.411629074953843,0.124443296821673,-0.0492751437916085,0.998419475690512,"Not Significant"
"SRM",-0.472279283856697,0.125758337355788,0.112476816338653,0.994739550495444,"Not Significant"
"THOC1",-0.636309835951861,0.125826907014115,0.209118380067534,0.335558544040105,"Not Significant"
"EIF4E",-0.29346189569253,0.125895118965903,0.526999773533289,0.917185685045979,"Not Significant"
"POFUT1",-0.455486037310477,0.125931623274247,0.213766099241345,0.998419475690512,"Not Significant"
"LDLR",0.521490579169078,0.126984294740962,-0.00389254080385003,0.998419475690512,"Not Significant"
"COL28A1",-1.06189535297593,0.127260003900041,0.303542712920586,0.853216168095328,"Not Significant"
"ETFA",-0.398341520630231,0.127260003900041,0.0721356048399757,0.998419475690512,"Not Significant"
"FGFR1",-0.88741860962836,0.127260003900041,0.253792127582429,0.998419475690512,"Not Significant"
"SEPTIN10",-0.525036531271853,0.127386965902292,0.0034659627938859,0.998419475690512,"Not Significant"
"ERBB2",-0.764203325509075,0.127884574767861,0.0524584478683533,0.998419475690512,"Not Significant"
"PLAU",-0.805294413842844,0.128470870626831,0.167924405669251,0.706375430478359,"Not Significant"
"DUSP16",0.701143493644231,0.130479960237087,-0.0201384271190264,0.998419475690512,"Not Significant"
"ESRP1",-0.826988578497252,0.131180492223772,0.00941786587772114,0.998419475690512,"Not Significant"
"METAP2",-0.618281482354584,0.13457306956826,0.208495003889137,0.998419475690512,"Not Significant"
"PSMA1",0.372263346595374,0.134801709685238,-0.0933276789805154,0.998419475690512,"Not Significant"
"HNRNPR",-0.387771851555515,0.135194230315253,0.10339905329457,0.998419475690512,"Not Significant"
"UBE3A",-0.37201989829449,0.136733303734847,0.143534800672783,0.966961547562754,"Not Significant"
"DCAF12",0.39826547476434,0.136865459187213,-0.0698113273127356,0.998419475690512,"Not Significant"
"PPP1R3B",0.517347064070801,0.139645349816642,-0.0411981392113265,0.998419475690512,"Not Significant"
"CIB1",-0.447000112318346,0.141048787700711,0.024763172634707,0.998419475690512,"Not Significant"
"NEIL1",-0.695187351945656,0.141153794773923,0.191879419480891,0.998419475690512,"Not Significant"
"UNC45A",-0.384479005124046,0.143073132052992,0.168616976895665,0.998419475690512,"Not Significant"
"RELB",0.505660172073474,0.14537492803806,-0.029151606497916,0.998419475690512,"Not Significant"
"EDEM2",0.489892085808421,0.146142866798086,-0.00284694716975649,0.998419475690512,"Not Significant"
"APOE",-1.05361986396815,0.146791299637238,0.801304052891834,0.33638801102274,"Not Significant"
"HADH",-0.746820914010782,0.146791299637238,0.304357833469403,0.998419475690512,"Not Significant"
"RPP30",-0.577768615428218,0.146791299637238,0.0658810545000791,0.998419475690512,"Not Significant"
"C1GALT1C1",0.526320061787173,0.146791299637238,-0.0461689844604706,0.998419475690512,"Not Significant"
"SMARCC1",-0.324502943039748,0.14734834713707,0.0161848063361253,0.998419475690512,"Not Significant"
"NPIPB3",0.374664682779161,0.149223556467963,-0.00220085437154437,0.998419475690512,"Not Significant"
"RNF24",0.555568969450423,0.149797474914425,-0.0132000740383189,0.998419475690512,"Not Significant"
"TXNIP",0.547729852848284,0.149989062758589,-0.00703692196492142,0.998419475690512,"Not Significant"
"B3GAT3",0.504353630360324,0.149992040974336,-0.0307636917773032,0.998419475690512,"Not Significant"
"UBE2Q2",-0.428355568241837,0.150092066638354,0.0415076373583007,0.998419475690512,"Not Significant"
"RPRD1A",-0.388959568493619,0.150834850097208,0.0249602845583702,0.998419475690512,"Not Significant"
"AHCY",-0.479176540394447,0.151202332753356,0.34017593671722,0.706375430478359,"Not Significant"
"NSFL1C",0.487505636312274,0.151202332753356,-0.19095831039677,0.998419475690512,"Not Significant"
"NCKIPSD",-0.668331897399933,0.151202332753356,0.082502689460063,0.998419475690512,"Not Significant"
"LAIR2",0.999700330946454,0.151820133770442,-0.0278762093230176,0.998419475690512,"Not Significant"
"KPNA1",-0.409009341574534,0.152484518118263,0.0921306809034161,0.998419475690512,"Not Significant"
"CRISPLD2",0.562215609640461,0.152983514335779,-0.122323441574142,0.998419475690512,"Not Significant"
"BAG4",-0.461913725911265,0.153475773354966,0.00200641213652457,0.998419475690512,"Not Significant"
"INSIG1",0.449320129359385,0.154815030589265,-0.0835188639208897,0.96484128332814,"Not Significant"
"IL15",0.709918757358268,0.154946609716692,-0.18728687584783,0.954918486558191,"Not Significant"
"PMEPA1",-0.774225563797701,0.155272248143042,0.0277073577405416,0.998419475690512,"Not Significant"
"NRXN1",-1.42945444555067,0.155412701955463,0.0379599534276771,0.998419475690512,"Not Significant"
"HHEX",0.650716600632901,0.155957433587768,-0.0128615967101996,0.998419475690512,"Not Significant"
"PRLR",1.12043161610245,0.156909821100793,-0.00799770372633726,0.998419475690512,"Not Significant"
"USO1",-0.408454035631359,0.159375442718021,0.0574333489265173,0.998419475690512,"Not Significant"
"MACROD2",-0.812377260189774,0.16020708987846,0.0227652915365671,0.998419475690512,"Not Significant"
"CAT",-0.498061876683553,0.161396784893203,0.139730781920707,0.998419475690512,"Not Significant"
"NOTCH3",-0.710489771115922,0.161438994248751,0.100459193389912,0.998419475690512,"Not Significant"
"PEX14",-0.655073624513412,0.161910969417989,0.143881842008016,0.723431915013577,"Not Significant"
"NEU1",0.36623076633934,0.162726896743327,-0.184355487121759,0.388198145244598,"Not Significant"
"TWF1",0.409169586456274,0.163208129261422,-0.114556896446697,0.712002983900469,"Not Significant"
"CRIP1",-0.698270235401294,0.16369222458025,0.251780294832545,0.524964515400664,"Not Significant"
"PFDN1",-0.406995262372116,0.163736846565725,0.0137217848118008,0.998419475690512,"Not Significant"
"TTC27",-0.73722058813641,0.164527882027922,0.0060715444392991,0.998419475690512,"Not Significant"
"SPRED1",-0.657249748794138,0.165363238863623,0.024167018690148,0.998419475690512,"Not Significant"
"ERC1",-0.403896500657512,0.167909550880611,0.135756978066557,0.998419475690512,"Not Significant"
"DLAT",-0.502122473043468,0.169945369511691,0.18650255202364,0.844219646885179,"Not Significant"
"BAG1",0.430590066727034,0.170445479100661,-0.0327375875341768,0.998419475690512,"Not Significant"
"PHGDH",-0.739375815009699,0.172516719239009,0.280391821227996,0.791573009435334,"Not Significant"
"TRIO",-0.335443485030556,0.173276397802276,0.084312502352385,0.998419475690512,"Not Significant"
"IRF6",-0.745939699002905,0.173276397802276,0.183120774390676,0.998419475690512,"Not Significant"
"GLRX",0.33463490369619,0.17340698192976,-0.139832674650275,0.998419475690512,"Not Significant"
"ZFP36",0.519594206873848,0.173610178037186,-0.0197323608544087,0.998419475690512,"Not Significant"
"CD3G",0.776598113351723,0.173610178037186,-0.0207660782371496,0.998419475690512,"Not Significant"
"AKT2",0.25959729649734,0.173729966684377,-0.0234620051943585,0.998419475690512,"Not Significant"
"CNOT9",-0.489027223448781,0.175690484216399,0.278688575256225,0.998419475690512,"Not Significant"
"C1QBP",-0.553272680606647,0.177062402387691,0.0359238242696492,0.998419475690512,"Not Significant"
"IDUA",-0.597275166630506,0.17737787233823,0.0961142013564266,0.998419475690512,"Not Significant"
"GALNT10",0.464179252112104,0.17768607245533,-0.0131921843828054,0.998419475690512,"Not Significant"
"EIF4B",-0.291225897394685,0.17768607245533,0.118243123402079,0.998419475690512,"Not Significant"
"MILR1",0.610326217779411,0.17768607245533,-0.0342395047740927,0.998419475690512,"Not Significant"
