"fold","auc","auc_lower","auc_upper"
1,1,1,1
2,0.780952380952381,0.562165108894711,0.999739653010051
3,0.948979591836735,0.845701933723946,1
4,0.928571428571429,0.815294488422865,1
5,0.857142857142857,0.684077205603557,1
