"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",140,-0.412701370037334,-1.7692260003248,4.38293024834561e-05,0.00021914651241728,0.00021914651241728,1946,"tags=26%, list=14%, signal=23%","ADH5/AHCY/TPST1/CAT/PAPSS2/HMOX1/EPHA2/ABHD6/LONP1/ECH1/BPHL/UGDH/PC/NQO1/CA2/MTHFD1/ABCC3/PROS1/FBLN1/ALDH3A1/PEMT/NDRG2/PTGR1/FAH/APOE/ALDH2/EPHX1/CD36/CYB5A/FBP1/AKR1C2/PDK4/CES1/BCAR1/AKR1C3/CYP27A1/RBP4",0.557332238758646
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",110,-0.425462359095543,-1.75957754264316,0.000302693813598582,0.00116420697537916,0.00116420697537916,3569,"tags=47%, list=26%, signal=35%","CCN2/FLNA/PLOD1/CCN1/FBN1/COL4A2/ENO2/ITGAV/PTX3/TIMP1/SERPINE1/CRLF1/FUCA1/TNFRSF12A/LAMC1/PVR/BMP1/DCN/SNTB1/VCAN/LGALS1/PFN2/GPC1/CXCL8/TAGLN/SERPINH1/CXCL1/THBS1/PMP22/CALU/COL1A1/PLOD3/TNC/MYLK/FBLN1/PMEPA1/FSTL1/SDC4/ANPEP/COL16A1/ELN/INHBA/LRP1/TGM2/LAMC2/DAB2/ITGB5/DST/IGFBP2/PCOLCE2/SPARC/FN1",0.49849310876659
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",140,0.424302602263939,1.72772364335237,0.000166279542608172,0.000692831427534049,0.000692831427534049,3175,"tags=38%, list=23%, signal=30%","CD69/TNFSF10/CCNA1/PRF1/GCH1/TAP1/IRF1/IFITM3/CD38/ISG20/FAS/CD2/PMAIP1/BIRC3/SAT1/CCND2/CASP1/IL6/ATF3/H1-0/CYLD/TNF/DNAJA1/CASP3/LEF1/XIAP/CFLAR/RELA/HMGB2/TXNIP/CLU/BIK/IER3/CDKN1B/BTG2/CDKN1A/CASP4/RNASEL/SOD2/GADD45B/CASP7/FEZ1/DDIT3/BCL2L1/PPP3R1/HGF/CASP8/MCL1/EMP1/BMF/BCL2L11/BID/CDC25B",0.518848077743792
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",165,-0.384710291575368,-1.71555724199424,0.000126537170485016,0.000575168956750071,0.000575168956750071,2389,"tags=23%, list=17%, signal=19%","CMPK1/CD302/POR/CS/SOD1/ACO2/GBE1/SLC25A1/NDUFB7/CAT/MAP4K3/DLAT/SAMM50/ACAA2/QDPR/ECH1/SLC27A1/SCARB1/PEX14/PHYH/MYLK/ESYT1/CD151/MGST3/HADH/PEMT/VEGFB/CYP4B1/PPARG/FAH/APOE/ALDH2/CD36/RMDN3/CHCHD10/PLIN2/LPL/FABP4",0.518848077743792
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",78,-0.431272463983532,-1.6666522498306,0.0014445053430929,0.00451407919716532,0.00451407919716532,2472,"tags=31%, list=18%, signal=25%","PECAM1/BMP1/CPQ/PLAT/MST1/CAPN5/THBS1/OLR1/CRIP2/LTA4H/S100A13/PROS1/DUSP14/PLAU/A2M/THBD/CD9/LRP1/MMP10/C1QA/SPARC/FN1/APOC2/APOC1",0.45505986738723
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",81,-0.419794177761478,-1.65354518069598,0.00193318307084112,0.00563693900281999,0.00563693900281999,3736,"tags=40%, list=27%, signal=29%","CADM1/EPHX2/LONP2/IDH1/SCP2/SMARCC1/CTPS1/FIS1/STS/ACOX1/RETSAT/SLC25A19/PRDX5/SOD1/CLN8/RDH11/ABCC5/SLC25A17/NUDT19/CAT/HSD17B4/ECH1/DHRS3/PEX14/DLG4/PEX5/ABCD3/DHCR24/SEMA3C/ALDH1A1/FABP6/SCGB1A1",0.45505986738723
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",21,-0.544780520392208,-1.64859006829514,0.0243812993193093,0.0560043456879106,0.0560043456879106,3264,"tags=62%, list=23%, signal=47%","APP/ITGAV/TIMP1/PDGFA/PTK2/VCAN/TNFRSF21/OLR1/FSTL1/THBD/FGFR1/NRP1/LPL",0.352487857583619
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",104,-0.381730693415957,-1.58751190063827,0.00357223036165339,0.00940060621487735,0.00940060621487735,2506,"tags=25%, list=18%, signal=21%","LAMC1/INPP4B/FHL2/ATP2B1/ICA1/TFPI/PMP22/PLPP3/ATRN/APBB2/KALRN/TJP1/COL1A1/PEX14/PTPRM/MGMT/ADORA2B/ERBB2/SDC2/PPARG/NRP1/DLC1/RND3/MAGI2/DAB2/IGFBP5",0.431707695803346
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",192,-0.344206944119299,-1.55769480691289,0.000940783967497409,0.0031359465583247,0.0031359465583247,4825,"tags=43%, list=35%, signal=28%","PMPCA/IDH3A/NDUFS8/UQCRC1/SUCLA2/PDHX/SLC25A6/MTX2/COX5A/HSPA9/GPX4/SLC25A11/NDUFA1/COX15/NDUFS1/UQCRB/VDAC2/COX6C/MFN2/SLC25A5/VDAC3/MRPL15/ECHS1/HADHA/NDUFA4/TIMM17A/IDH1/CPT1A/NNT/NDUFB2/NDUFA7/COX7C/NQO2/NDUFA2/MRPS30/MPC1/ATP5PB/ACADVL/DLD/RETSAT/ATP1B1/NDUFC1/PDHA1/AFG3L2/CYCS/TIMM50/VDAC1/ETFA/SUPV3L1/SDHA/NDUFA3/POR/CS/ATP5MC3/SLC25A20/TOMM22/CYB5R3/FDX1/TIMM9/MRPS12/ACO2/TOMM70/NDUFB7/MRPL34/DLAT/GOT2/ACAA2/NDUFB8/ECH1/ATP5F1A/LRPPRC/ALDH6A1/MRPL35/MRPS15/PHYH/FH/ACAT1/MGST3/MRPL11/COX11/CYB5A/PDK4",0.477270815362862
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",140,-0.354826097489859,-1.52111818096473,0.0020292980410152,0.00563693900281999,0.00563693900281999,2998,"tags=36%, list=22%, signal=29%","CLDN7/BLVRB/FRK/MAST4/AMFR/MREG/NCOR2/NRIP1/CA12/SLC39A6/TIAM1/ADCY9/RETREG1/FHL2/MYBBP1A/MSMB/SH3BP5/SVIL/SCNN1A/KRT18/KRT8/PAPSS2/KAZN/ESRP2/LAD1/FKBP4/SFN/DYNLT3/SNX24/NAV2/DHRS3/SCARB1/RPS6KA2/WWC1/AKAP1/TSKU/ELF3/CELSR1/AQP3/PLAAT3/FARP1/RHOD/SYBU/CCND1/SLC22A5/OPN3/TGM2/KRT15/DLC1/MLPH/WFS1",0.431707695803346
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",121,-0.342698659814362,-1.4515768624753,0.00936034148808904,0.0234008537202226,0.0234008537202226,3479,"tags=36%, list=25%, signal=27%","ALAD/IDH1/CPT1A/AUH/ENO2/ACSS1/RAP1GDS1/PTS/ACADVL/DLD/ACOX1/UROD/RETSAT/PDHA1/SDHA/RDH11/ACO2/LGALS1/UROS/METAP1/APEX1/PCBD1/ACAA2/HSD17B4/ENO3/ECH1/XIST/ALDH3A2/BPHL/UGDH/CA2/SUCLG2/FH/HADH/ALDH3A1/AQP7/SLC22A5/DHCR24/ACOT2/EPHX1/CD36/ALDH1A1/AOC3",0.380730400722792
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",62,-0.373363757571404,-1.40487876301652,0.047984220572445,0.0922773472547019,0.0922773472547019,1745,"tags=24%, list=13%, signal=21%","CAT/HSD17B4/PEX19/FDXR/EFHC1/NEDD4/PEX11G/PHYH/SLC23A1/ABCD3/SLC29A1/DHCR24/BCAR3/ALDH1A1/CYP27A1",0.321775918075361
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",150,-0.314344797606769,-1.37023359566914,0.0246419121026807,0.0560043456879106,0.0560043456879106,4005,"tags=39%, list=29%, signal=28%","DDIT4/HS2ST1/GNPDA1/ABCB6/PPIA/HDLBP/ALG1/CITED2/SLC35A3/GCLC/CASP6/PPP2CB/IDH1/PLOD1/RPE/PYGB/ENO2/P4HA1/GUSB/PAXIP1/DLD/ALDH7A1/DCN/VCAN/MPI/CTH/CHPF/SOD1/SRD5A3/GOT1/LHPP/MXI1/GPC1/AK3/GALE/TPST1/CAPN5/GOT2/B3GNT3/B4GALT2/FKBP4/IDUA/STMN1/NDUFV3/PC/CLDN3/TKTL1/ADORA2B/ELF3/FAM162A/EGFR/B4GALT7/PMM2/SDC2/P4HA2/CHST6/PKP2/CYB5A",0.352487857583619
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",140,0.334902418309365,1.36369379598818,0.0296812948756518,0.0618360309909412,0.0618360309909412,1855,"tags=25%, list=13%, signal=22%","CXCL10/ADAMDEC1/CLEC4A/H2BC3/TLR8/PSMB8/PRDM1/ARG1/CMKLR1/CFB/MMP9/TMEM176B/TRAF1/BIRC3/PTBP2/CCND2/LY96/F13A1/CDADC1/EPHB2/IGFBP3/GALNT3/TMEM176A/ZNF277/PDCD1LG2/TNFAIP3/FCER1G/KLF4/MAP3K1/TRIB1/CD37/ETS1/CTSS/ETV5/JUP",0.352487857583619
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",134,-0.315224519088422,-1.3595646070226,0.0280476682493562,0.0609731918464265,0.0609731918464265,2008,"tags=25%, list=14%, signal=22%","HOMER2/GALE/SCNN1A/EMP2/PAPSS2/PERP/FKBP4/SFN/DYNLT3/KLK11/PKP3/ALDH3A2/UGDH/SCARB1/CA2/RPS6KA2/LLGL2/FGFR3/SORD/SLC2A8/CDH1/PLXNB1/PLAAT3/FARP1/CCND1/SLC29A1/SLC22A5/OPN3/DLG5/CD9/LAMC2/LARGE1/FABP5/WFS1",0.352487857583619
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",192,-0.28547505856728,-1.29190599966305,0.0376659583419988,0.0753319166839977,0.0753319166839977,5060,"tags=47%, list=36%, signal=30%","RPL14/CDK2/G3BP1/GSPT1/CDK4/POLE3/RACK1/DDX18/EIF2S1/SNRPD1/CCT5/TARDBP/SRSF1/SF3A1/COX5A/ABCE1/MCM4/UBA2/SET/RSL1D1/SYNCRIP/SF3B3/AIMP2/PRPS2/ACP1/PABPC4/VDAC3/CLNS1A/HNRNPA3/PA2G4/CCT3/PPIA/RPS6/RPS5/NCBP2/PCNA/RPLP0/PPM1G/CCT7/RUVBL2/ILF2/FBL/HSPE1/EIF4E/TUFM/NOP56/CANX/NOP16/PRPF31/SMARCC1/CTPS1/NPM1/EXOSC7/HDAC2/HSPD1/POLD2/HSP90AB1/STARD7/RPL6/PSMD14/KPNA2/HNRNPR/CAD/VDAC1/LSM7/EIF3J/CCT4/NOLC1/MRPL23/RPL22/PRDX4/XRCC6/EIF3B/TOMM70/SRM/APEX1/GNL3/GOT2/XPOT/NAP1L1/ORC2/GLO1/C1QBP/EEF1B2/NHP2/IARS1/MRPS18B/EPRS1/IMPDH2/HDDC2",0.321775918075361
