"fold","auc","auc_lower","auc_upper"
1,0.990476190476191,0.96407802239334,1
2,0.766666666666667,0.564923924940029,0.968409408393305
3,0.821428571428571,0.594389315953785,1
4,0.880952380952381,0.727047699905988,1
5,0.916666666666667,0.793676327365804,1
