"fold","auc","auc_lower","auc_upper"
1,0.980952380952381,0.936517642799637,1
2,0.971428571428571,0.915281650458676,1
3,0.948979591836735,0.8631668192888,1
4,0.857142857142857,0.68475608721199,1
5,0.821428571428571,0.616826393407041,1
