"comparison","auc_1","auc_2","z_statistic","p_value","significant"
"Gene vs Protein",0.921,0.928,-0.222,0.82,FALSE
"Gene vs Integrated",0.921,0.922,-0.019,0.99,FALSE
"Protein vs Integrated",0.928,0.922,0.392,0.7,FALSE
