"fold","auc","auc_lower","auc_upper"
1,0.990476190476191,0.96407802239334,1
2,0.761904761904762,0.558819751929888,0.964989771879636
3,0.831632653061224,0.619359521355711,1
4,0.892857142857143,0.745684737856021,1
5,0.916666666666667,0.793676327365804,1
