"fold","auc","auc_lower","auc_upper"
1,0.971428571428571,0.909519379625435,1
2,0.914285714285714,0.759982456588011,1
3,0.979591836734694,0.931983188713896,1
4,0.857142857142857,0.670569384043639,1
5,0.821428571428571,0.62280875315388,1
