"fold","auc","auc_lower","auc_upper"
1,0.752380952380952,0.540528849469124,0.96423305529278
2,0.766666666666667,0.508644708229643,1
3,0.806122448979592,0.611875321257289,1
4,0.678571428571429,0.428437601707166,0.928705255435691
5,0.869047619047619,0.6362576476414,1
