"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"REACTOME_DEFECTIVE_PYROPTOSIS","REACTOME_DEFECTIVE_PYROPTOSIS",62,0.710496448789164,2.53830009593435,1e-10,4.86e-09,4.86e-09,1845,"tags=65%, list=13%, signal=56%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/EZH2/H3C3/H3C2/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",NA
"REACTOME_MEIOTIC_RECOMBINATION","REACTOME_MEIOTIC_RECOMBINATION",70,0.692727878063632,2.5378431445365,1e-10,4.86e-09,4.86e-09,1845,"tags=60%, list=13%, signal=52%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/NBN/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/BRCA2/H2BC9/H2BC15/H4C8/H3C3/H3C2/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/BLM/H3C7/H3C4",NA
"REACTOME_HDACS_DEACETYLATE_HISTONES","REACTOME_HDACS_DEACETYLATE_HISTONES",86,0.662712459513311,2.51931576952375,1e-10,4.86e-09,4.86e-09,1845,"tags=52%, list=13%, signal=46%","H2AC19/H3C12/H2BC13/H2AC17/H2AC4/H2AC16/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H2AC12/H2AC11/H4C13/H2AC20/H2AC21/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2AC13/H2BC8/H2BC9/H2BC15/H4C8/ARID4B/H3C3/H3C2/H2AC6/H2BC4/H4C2/H2BC5/H3C7/H3C4",NA
"REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION","REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION",80,0.657744599864107,2.51020876110636,1e-10,4.86e-09,4.86e-09,1845,"tags=51%, list=13%, signal=45%","H2AC19/H3C12/H2BC13/MOV10/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/NFE2/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",NA
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS",69,0.678320938114778,2.50078364531176,1e-10,4.86e-09,4.86e-09,1845,"tags=57%, list=13%, signal=49%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",NA
"REACTOME_REGULATION_OF_PD_L1_CD274_TRANSCRIPTION","REACTOME_REGULATION_OF_PD_L1_CD274_TRANSCRIPTION",89,0.665310937894472,2.48396641346146,1e-10,4.86e-09,4.86e-09,2021,"tags=57%, list=15%, signal=49%","H2AC19/CD274/IRF1/H3C12/STAT1/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/ATF3/H2BC8/H2BC9/H2BC15/H4C8/EZH2/H3C3/H3C2/JUND/LEF1/TCF7/RELA/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4/NFKB2/H2BC21/NFE2L2",NA
"REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX","REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX",82,0.653569550303274,2.47962848485582,1e-10,4.86e-09,4.86e-09,1845,"tags=54%, list=13%, signal=47%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/RUNX3/H4C8/H3C3/H3C2/LEF1/TCF7/H2AC6/TLE4/H2BC4/H4C2/TCF4/H3-3B/H2BC5/H3C7/H3C4",NA
"REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION","REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION",60,0.699084227754683,2.47898973521509,2.12428396880317e-10,9.04658650921774e-09,9.04658650921774e-09,1845,"tags=67%, list=13%, signal=58%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/KPNB1/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",0.826657301178302
"REACTOME_HCMV_LATE_EVENTS","REACTOME_HCMV_LATE_EVENTS",104,0.631917625150256,2.46568181069244,1e-10,4.86e-09,4.86e-09,1845,"tags=44%, list=13%, signal=39%","H2AC19/H3C12/H2BC13/H2AC17/H2AC4/H2AC16/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H2AC12/H2AC11/H4C13/H2AC20/H2AC21/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2AC13/H2BC8/H2BC9/H2BC15/H4C8/CHMP2B/H3C3/H3C2/H2AC6/H2BC4/H4C2/H2BC5/H3C7/MVB12A/H3C4",NA
"REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE","REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE",108,0.616740003048373,2.46013679320464,1e-10,4.86e-09,4.86e-09,1845,"tags=42%, list=13%, signal=36%","H2AC19/MAP2K6/H3C12/H2BC13/MOV10/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/EZH2/H3C3/H3C2/MAPK14/H2AC6/H2BC4/H4C2/CDKN2D/H3-3B/CBX6/H2BC5/H3C7/H3C4",NA
