"fold","auc","auc_lower","auc_upper"
1,0.904761904761905,0.779411963702643,1
2,0.790476190476191,0.589805459460796,0.991146921491584
3,0.897959183673469,0.763912287410879,1
4,0.80952380952381,0.609266121694556,1
5,0.916666666666667,0.768134672468689,1
