"classifier","auc","lower","upper"
"Full LASSO",0.928451178451178,0.873292715524746,0.98360964137761
"3-feature LASSO",0.889941077441078,0.819714408312664,0.960167746569491
"1-feature LASSO",0.8253367003367,0.744207667178789,0.906465733494612
"FABP4",0.899410774410774,0.843514242807146,0.955307306014403
"ISG15",0.807449494949495,0.717765766376256,0.897133223522734
