"sample_name","name","tax_id","tax_level","genus_tax_id","common_name","category","nt_count","nt_rpm","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nr_count","nr_rpm","nr_contigs","nr_contig_r","nr_percent_identity","expected_bg_count","p_val","p_adj"
"P45","Ralstonia mannitolilytica",105219,1,48736,"","bacteria",30,0.321745422,NA,NA,95.1693,109.933,18,0.193047253,NA,NA,99.3944,534.539322066797,0.939186345207476,0.994449271158609
"P45","Ralstonia pickettii",329,1,48736,"","bacteria",62,0.664940538,1,15,95.979,164.371,37,0.396819353,NA,NA,96.1907,1064.70061796178,0.937985432099404,0.994449271158609
"P45","Ralstonia solanacearum",305,1,48736,"","bacteria",94,1.008135655,1,28,97.1532,176.745,25,0.268121185,1,6,99.2269,1045.35424652614,0.907492685708617,0.994449271158609
"P45","Ralstonia insidiosa",190721,1,48736,"","bacteria",422,4.525885599,3,43,96.7503,162.185,79,0.847262944,1,4,98.128,8885.1103326366,0.94943610697238,0.994449271158609
"P45","Sphingomonas koreensis",93064,1,13687,"","bacteria",10,0.107248474,NA,NA,99.5,161.8,10,0.107248474,NA,NA,100,407.471434594692,0.97056503764203,0.994449271158609
"P45","Mesorhizobium japonicum",2066070,1,68287,"","bacteria",5,0.053624237,NA,NA,94.52,75,0,0,NA,NA,0,53.4281550327087,0.88875367618634,0.994449271158609
"P45","Mesorhizobium ciceri",39645,1,68287,"","bacteria",5,0.053624237,NA,NA,91.82,81,0,0,NA,NA,0,107.413176708161,0.941609459412181,0.994449271158609
"P45","Mesorhizobium amorphae",71433,1,68287,"","bacteria",12,0.128698169,NA,NA,90.575,98,0,0,NA,NA,0,109.890818597486,0.882693838109879,0.994449271158609
"P45","Mesorhizobium loti",381,1,68287,"","bacteria",8,0.085798779,NA,NA,92,86.375,6,0.064349084,NA,NA,95.8667,149.569726476062,0.937256862012904,0.994449271158609
"P45","Polaromonas naphthalenivorans",216465,1,52972,"","bacteria",10,0.107248474,NA,NA,99.42,87,0,0,NA,NA,0,77.6849893047454,0.862182028518358,0.994449271158609
"P45","Corynebacterium glutamicum",1718,1,1716,"","bacteria",8,0.085798779,NA,NA,99.75,148.625,8,0.085798779,NA,NA,99.4625,169.594008409494,0.94422660416493,0.994449271158609
"P45","Corynebacterium camporealensis",161896,1,1716,"","bacteria",13,0.139423016,1,11,97.4362,270.077,0,0,NA,NA,0,6.75208771198877,0.145923477647593,0.994449271158609
