"sample_name","name","tax_id","tax_level","genus_tax_id","common_name","category","nt_count","nt_rpm","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nr_count","nr_rpm","nr_contigs","nr_contig_r","nr_percent_identity"
"P254","Enterobacter cloacae",550,1,547,"","bacteria",1,0.01517432,NA,NA,100,150,0,0,NA,NA,0
"P254","Acinetobacter junii",40215,1,469,"","bacteria",2,0.030348641,NA,NA,99.6,124,0,0,NA,NA,0
"P254","Opitutaceae bacterium TAV5",794903,1,-200134623,"","bacteria",2,0.030348641,NA,NA,94,100,0,0,NA,NA,0
"P254","Sordaria macrospora",5147,1,5146,"","eukaryota",1,0.01517432,NA,NA,99.2,126,0,0,NA,NA,0
"P254","Leadbetterella byssophila",316068,1,319458,"","bacteria",2,0.030348641,NA,NA,93.45,76.5,0,0,NA,NA,0
"P254","Streptococcus pseudopneumoniae",257758,1,1301,"","bacteria",2,0.030348641,NA,NA,100,252,0,0,NA,NA,0
"P254","Streptococcus agalactiae",1311,1,1301,"","bacteria",4,0.060697281,NA,NA,100,70.5,1,0.01517432,NA,NA,82.2
"P254","Streptococcus oralis",1303,1,1301,"","bacteria",4,0.060697281,NA,NA,98.3265,194.5,4,0.060697281,NA,NA,97.438
"P254","Streptococcus pneumoniae",1313,1,1301,"","bacteria",11,0.166917523,NA,NA,98.6253,128.545,12,0.182091844,NA,NA,95.614
"P254","Streptococcus mitis",28037,1,1301,"","bacteria",736,11.16829975,1,726,99.7031,2834.35,0,0,NA,NA,0
"P254","Desulfovibrio piger",901,1,872,"","bacteria",1,0.01517432,NA,NA,30.7,150,0,0,NA,NA,0
"P254","Mesorhizobium japonicum",2066070,1,68287,"","bacteria",2,0.030348641,NA,NA,94.25,148.5,0,0,NA,NA,0
"P254","Bdellovibrio exovorus",453816,1,958,"","bacteria",8,0.121394563,1,4,83.8057,212.375,0,0,NA,NA,0
"P254","Neurospora crassa",5141,1,5140,"","eukaryota",1,0.01517432,NA,NA,99.2,126,0,0,NA,NA,0
"P254","Porphyromonas gingivalis",837,1,836,"","bacteria",2,0.030348641,NA,NA,87.6,129,0,0,NA,NA,0
"P254","Planctomyces sp. SH-PL62",1636152,1,118,"","bacteria",2,0.030348641,NA,NA,90.9,77,0,0,NA,NA,0
"P254","Hyphomicrobium nitrativorans",1427356,1,81,"","bacteria",2,0.030348641,NA,NA,96.7,91,0,0,NA,NA,0
"P254","Bordetella trematum",123899,1,517,"","bacteria",2,0.030348641,NA,NA,100,82,0,0,NA,NA,0
"P254","Veillonella parvula",29466,1,29465,"","bacteria",2,0.030348641,NA,NA,96.45,141.5,0,0,NA,NA,0
"P254","Klebsiella michiganensis",1134687,1,570,"","bacteria",2,0.030348641,NA,NA,98.8,82,0,0,NA,NA,0
"P254","Klebsiella pneumoniae",573,1,570,"","bacteria",2,0.030348641,NA,NA,100,105,1,0.01517432,NA,NA,95
"P254","Roseateles depolymerans",76731,1,93681,"","bacteria",7,0.106220242,1,7,92.543,523,1,0.01517432,NA,NA,85.1
"P254","Alternaria alternata",5599,1,5598,"","eukaryota",2,0.030348641,NA,NA,86.15,108,0,0,NA,NA,0
"P254","Ralstonia pickettii",329,1,48736,"","bacteria",2,0.030348641,NA,NA,99.65,148.5,2,0.030348641,NA,NA,100
"P254","Ralstonia solanacearum",305,1,48736,"","bacteria",11,0.166917523,1,10,93.6209,410.273,0,0,NA,NA,0
"P254","Ralstonia insidiosa",190721,1,48736,"","bacteria",15,0.227614805,NA,NA,94.7645,156.333,4,0.060697281,NA,NA,97.45
"P254","Curtobacterium sp. MR_MD2014",1561023,1,2034,"","bacteria",2,0.030348641,NA,NA,100,150,0,0,NA,NA,0
"P254","Malassezia restricta",76775,1,55193,"","eukaryota",2,0.030348641,NA,NA,100,150,0,0,NA,NA,0
