"protein","coef","fold","PROBEID","GENENAME","UNIPROT"
"FABP4",-0.0296203733750855,1,"15386-7","fatty acid binding protein 4","E7DVW4"
"FABP4",-0.0375294791003269,5,"15386-7","fatty acid binding protein 4","E7DVW4"
"GNLY",0.0364868133899835,3,"14102-6","granulysin","B4E3H9"
"ISG15",0.0263285991090361,2,"14148-2","ISG15 ubiquitin like modifier","A0A096LPJ4"
"ISG15",0.0350169474248363,4,"14148-2","ISG15 ubiquitin like modifier","A0A096LPJ4"
