"fold","auc","auc_lower","auc_upper"
1,1,1,1
2,0.838095238095238,0.651654352041616,1
3,0.959183673469388,0.874332418917367,1
4,0.928571428571429,0.815294488422865,1
5,0.869047619047619,0.684868819383996,1
