"fold","auc","auc_lower","auc_upper"
1,0.876190476190476,0.719592421933513,1
2,0.771428571428571,0.525936759811209,1
3,0.887755102040816,0.745396674597978,1
4,0.80952380952381,0.595361103162076,1
5,0.952380952380952,0.850469505096944,1
