"classifier","auc","lower","upper"
"Full LASSO",0.928030303030303,0.868938661260466,0.98712194480014
"3-feature LASSO",0.907828282828283,0.844004605129736,0.97165196052683
"1-feature LASSO",0.793350168350168,0.706255581655242,0.880444755045095
"FABP4",0.843434343434343,0.770879080136961,0.915989606731726
"ISG15",0.849326599326599,0.770433512977834,0.928219685675365
